HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
02 18    0.132    0.122    0.119  999.000  999.000    0.258    0.133    0.115    0.048    0.105    0.046    0.746   5
02 19    0.148    0.091    0.173  999.000  999.000    0.241    0.122    0.126    0.055    0.197    0.094    0.637   5
02 20    0.115    0.152    0.104  999.000  999.000    0.208    0.086    0.109    0.051    0.121    0.082    0.581   5
02 21    0.101    0.175    0.233  999.000  999.000    0.204    0.110    0.093    0.040    0.057    0.073    0.371   5
02 22    0.149    0.208    0.232  999.000  999.000    0.330    0.181    0.150    0.047    0.036    0.081    0.462   5
02 23    0.126    0.157    0.198  999.000  999.000    0.256    0.140    0.132    0.037    0.066    0.050    0.408   5
02 24    0.136    0.095    0.179  999.000  999.000    0.181    0.157    0.131    0.065    0.146    0.038    0.418   5
02 25    0.140    0.122    0.139  999.000  999.000    0.238    0.153    0.104    0.068    0.138    0.062    0.487   5
02 26    0.119    0.124    0.106  999.000  999.000    0.256    0.129    0.075    0.058    0.076    0.054    0.499   5
02 27    0.103    0.153    0.250  999.000  999.000    0.233    0.087    0.046    0.049    0.099    0.027    0.387   5
02 28    0.090    0.189    0.333  999.000  999.000    0.140    0.079    0.063    0.047    0.122    0.043    0.376   5
02 29    0.090    0.178    0.297  999.000  999.000    0.182    0.089    0.064    0.038    0.077    0.056    0.502   5
02 30    0.100    0.121    0.194  999.000  999.000    0.210    0.086    0.064    0.029    0.109    0.052    0.333   5
02 31    0.189    0.071    0.099  999.000  999.000    0.350    0.207    0.144    0.056    0.189    0.032    0.168   5
02 32    0.137    0.104    0.129  999.000  999.000    0.291    0.171    0.131    0.029    0.062    0.042    0.282   5
02 33    0.112    0.119    0.129  999.000  999.000    0.192    0.113    0.128    0.035    0.091    0.073    0.340   5
02 34    0.191    0.117    0.158  999.000  999.000    0.301    0.221    0.198    0.080    0.154    0.073    0.431   5
02 35    0.189    0.116    0.394  999.000  999.000    0.272    0.202    0.172    0.106    0.190    0.059    0.574   5
02 36    0.190    0.117    0.289  999.000  999.000    0.306    0.200    0.175    0.100    0.171    0.063    0.513   5
02 37    0.179    0.130    0.124  999.000  999.000    0.250    0.210    0.193    0.094    0.148    0.067    0.371   5
02 38    0.180    0.112    0.181  999.000  999.000    0.216    0.221    0.217    0.102    0.145    0.084    0.506   5
02 39    0.128    0.140    0.181  999.000  999.000    0.198    0.151    0.150    0.065    0.079    0.050    0.397   5
02 40    0.081    0.157    0.121  999.000  999.000    0.179    0.086    0.071    0.020    0.049    0.068    0.604   5
02 41    0.088    0.136    0.245  999.000  999.000    0.180    0.088    0.062    0.035    0.075    0.065    0.835   5
02 42    0.143    0.161    0.246  999.000  999.000    0.198    0.090    0.068    0.136    0.222    0.092    0.493   5
02 43    0.189    0.243    0.414  999.000  999.000    0.169    0.057    0.092    0.245    0.383    0.153    0.453   5
02 44    0.273    0.323    0.264  999.000  999.000    0.175    0.111    0.167    0.335    0.480    0.215    0.629   4
02 45    0.298    0.329    0.130  999.000  999.000    0.211    0.143    0.200    0.342    0.509    0.185    0.832   4
02 46    0.258    0.188    0.115  999.000  999.000    0.343    0.112    0.122    0.318    0.479    0.144    0.449   4
02 47    0.207    0.179    0.130  999.000  999.000    0.284    0.078    0.104    0.247    0.399    0.086    0.266   4
02 48    0.136    0.089    0.131  999.000  999.000    0.201    0.098    0.088    0.160    0.199    0.056    0.285   4
02 49    0.115    0.077    0.214  999.000  999.000    0.102    0.071    0.099    0.116    0.173    0.036    0.330   4
02 50    0.133    0.141    0.214  999.000  999.000    0.279    0.154    0.158    0.063    0.158    0.053    0.497   4
02 51    0.177    0.243    0.192  999.000  999.000    0.535    0.240    0.218    0.036    0.215    0.108    0.732   4
02 52    0.206    0.305    0.308  999.000  999.000    0.500    0.223    0.195    0.103    0.305    0.157    1.057   4
02 53    0.232    0.295    0.161  999.000  999.000    0.213    0.238    0.202    0.158    0.330    0.123    1.241   4
02 54    0.156    0.205    0.227  999.000  999.000    0.227    0.158    0.136    0.107    0.223    0.068    0.780   4
02 55    0.148    0.362    0.350  999.000  999.000    0.271    0.161    0.091    0.089    0.253    0.089    0.740   4
02 56    0.216    0.343    0.267  999.000  999.000    0.395    0.223    0.174    0.165    0.301    0.148    0.934   4
02 57    0.208    0.229    0.170  999.000  999.000    0.522    0.303    0.252    0.105    0.172    0.087    0.717   4
02 58    0.147    0.185    0.147  999.000  999.000    0.535    0.270    0.216    0.051    0.051    0.096    0.473   4
02 59    0.072    0.125    0.191  999.000  999.000    0.202    0.119    0.099    0.032    0.038    0.068    0.390   4
03 00    0.086    0.123    0.289  999.000  999.000    0.140    0.110    0.103    0.046    0.083    0.061    0.394   4
03 01    0.076    0.155    0.227  999.000  999.000    0.107    0.077    0.067    0.048    0.111    0.046    0.350   4
03 02    0.077    0.097    0.190  999.000  999.000    0.116    0.064    0.082    0.049    0.112    0.034    0.557   4
03 03    0.084    0.116    0.175  999.000  999.000    0.192    0.053    0.086    0.070    0.129    0.052    0.267   4
03 04    0.156    0.151    0.187  999.000  999.000    0.220    0.061    0.100    0.149    0.315    0.056    0.482   4
03 05    0.140    0.075    0.246  999.000  999.000    0.073    0.073    0.091    0.129    0.266    0.044    0.589   4
03 06    0.124    0.137    0.182  999.000  999.000    0.094    0.112    0.063    0.100    0.219    0.041    0.947   4
03 07    0.137    0.210    0.357  999.000  999.000    0.112    0.075    0.067    0.090    0.315    0.099    0.569   4
03 08    0.138    0.224    0.433  999.000  999.000    0.232    0.116    0.068    0.102    0.266    0.102    0.645   4
03 09    0.107    0.239    0.288  999.000  999.000    0.244    0.136    0.060    0.072    0.158    0.111    0.598   4
03 10    0.085    0.159    0.226  999.000  999.000    0.280    0.154    0.086    0.030    0.069    0.071    0.707   4
03 11    0.091    0.099    0.143  999.000  999.000    0.311    0.163    0.094    0.023    0.083    0.024    0.508   4
03 12    0.077    0.095    0.169  999.000  999.000    0.217    0.107    0.067    0.044    0.090    0.028    0.186   4
03 13    0.072    0.091    0.156  999.000  999.000    0.153    0.091    0.102    0.047    0.047    0.044    0.225   4
03 14    0.061    0.080    0.156  999.000  999.000    0.151    0.084    0.100    0.029    0.031    0.034    0.208   4
03 15    0.053    0.073    0.167  999.000  999.000    0.141    0.076    0.080    0.022    0.036    0.055    0.147   4
